iter	Passed	Remaining
788	4870	1302
789	4876	1296
790	4882	1290
791	4889	1283
792	4895	1277
793	4901	1271
794	4907	1265
795	4913	1259
796	4920	1253
797	4926	1247
798	4932	1240
799	4938	1234
800	4944	1228
801	4950	1222
802	4957	1216
803	4963	1209
804	4969	1203
805	4975	1197
806	4981	1191
807	4987	1185
808	4994	1179
809	5000	1173
810	5006	1166
811	5013	1160
812	5019	1154
813	5025	1148
814	5031	1142
815	5038	1136
816	5044	1129
817	5050	1123
818	5056	1117
819	5063	1111
820	5069	1105
821	5075	1099
822	5081	1092
823	5087	1086
824	5094	1080
825	5100	1074
826	5106	1068
827	5112	1062
828	5119	1055
829	5126	1050
830	5133	1043
831	5140	1037
832	5146	1031
833	5153	1025
834	5160	1019
835	5166	1013
836	5172	1007
837	5178	1001
838	5185	994
839	5191	988
840	5197	982
841	5204	976
842	5210	970
843	5216	964
844	5222	957
845	5228	951
846	5235	945
847	5241	939
848	5247	933
849	5253	927
850	5259	920
851	5266	914
852	5273	908
853	5279	902
854	5285	896
855	5291	890
856	5298	884
857	5304	877
858	5310	871
859	5317	865
860	5323	859
861	5329	853
862	5335	847
863	5342	840
864	5348	834
865	5354	828
866	5360	822
867	5367	816
868	5373	810
869	5379	803
870	5386	797
871	5391	791
872	5398	785
873	5404	779
874	5410	772
875	5416	766
876	5422	760
877	5428	754
878	5435	748
879	5442	742
880	5448	735
881	5454	729
882	5460	723
883	5466	717
884	5473	711
885	5479	705
886	5485	698
887	5491	692
888	5498	686
889	5504	680
890	5511	674
891	5517	668
892	5523	661
893	5530	655
894	5536	649
895	5542	643
896	5549	637
897	5555	631
898	5561	624
899	5567	618
900	5573	612
901	5580	606
902	5586	600
903	5592	593
904	5598	587
905	5604	581
906	5610	575
907	5617	569
908	5623	562
909	5629	556
910	5635	550
911	5642	544
912	5648	538
913	5654	532
914	5660	525
915	5666	519
916	5672	513
917	5679	507
918	5685	501
919	5691	494
920	5698	488
921	5704	482
922	5710	476
923	5716	470
924	5722	463
925	5728	457
926	5734	451
927	5741	445
928	5747	439
929	5753	433
930	5760	426
931	5766	420
932	5772	414
933	5778	408
934	5785	402
935	5791	395
936	5797	389
937	5804	383
938	5810	377
939	5816	371
940	5822	365
941	5829	358
942	5835	352
943	5841	346
944	5847	340
945	5854	334
946	5860	327
947	5866	321
948	5873	315
949	5879	309
950	5885	303
951	5892	297
952	5898	290
953	5904	284
954	5911	278
955	5917	272
956	5924	266
957	5930	259
958	5937	253
959	5943	247
960	5949	241
961	5959	235
962	5971	229
963	5982	223
964	5989	217
965	5998	211
966	6005	204
967	6012	198
968	6018	192
969	6025	186
970	6031	180
971	6037	173
972	6044	167
973	6050	161
974	6057	155
975	6063	149
976	6070	142
977	6076	136
978	6082	130
979	6089	124
980	6095	118
981	6102	111
982	6108	105
983	6115	99
984	6121	93
985	6128	87
986	6134	80
987	6141	74
988	6147	68
989	6153	62
990	6159	55
991	6166	49
992	6173	43
993	6179	37
994	6185	31
995	6191	24
996	6198	18
997	6204	12
998	6211	6
999	6217	0
